电影名称,导演,主演,评分,评分人数,引述
肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,9.6,879765,希望让人自由。
霸王别姬,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,9.5,632669,风华绝代。
这个杀手不太冷,吕克·贝松 Luc Besson,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,9.4,840465,怪蜀黍和小萝莉不得不说的故事。
阿甘正传,Robert Zemeckis,Tom Hanks / Robin Wright Penn / Gary Sinise,9.4,716214,一部美国近现代史。
美丽人生,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni...,9.5,417952,最美的谎言。
千与千寻,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi / 入野自由 Miy...,9.2,667445,最好的宫崎骏，最好的久石让。 
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson...,9.4,385248,拯救一个人，就是拯救整个世界。
泰坦尼克号,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,9.2,658555,失去的才是永恒的。 
盗梦空间,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le...,9.2,768024,诺兰给了我们一场无法盗取的梦。
机器人总动员,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt / 艾丽...,9.3,501838,小瓦力，大人生。
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯 Tim Roth / ...,9.2,602419,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan / 卡...,9.1,678069,英俊版憨豆，高情商版谢耳朵。
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔 Richard Ger...,9.2,458808,永远都不能忘记你所爱的人。
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,杰拉尔·朱诺 Géra...,9.2,455445,天籁一般的童声，是最接近上帝的存在。 
大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,9.2,491533,一生所爱。
龙猫,宫崎骏 Hayao Miyazaki,日高法子 Noriko Hidaka / 坂本千夏 Ch...,9.1,421223,人人心中都有个龙猫，童年就永远不会消失。
教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,9.2,345732,千万不要记恨你的对手，这样会让你失去理智。
楚门的世界,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,9.1,458091,如果再也不能见到你，祝你早安，午安，晚安。
